id,category,rule,priority,severity,check_type,recommendation
ARCH001,separation_of_concerns,"Keep business logic out of UI components.",high,error,manual,"Move logic into services, hooks, use-cases, or domain modules."
ARCH002,separation_of_concerns,"Avoid mixing data fetching, validation, and rendering in the same file.",high,warning,manual,"Split responsibilities into API layer, schema/validation layer, and presentation layer."
ARCH003,separation_of_concerns,"Controllers/routes should not contain complex business rules.",high,error,manual,"Delegate business decisions to use-cases or services."
ARCH004,layering,"Dependencies should point inward: UI -> application -> domain -> infrastructure.",high,error,manual,"Prevent domain code from depending on frameworks, databases, or UI."
ARCH005,layering,"Do not import infrastructure code directly into domain logic.",high,error,static,"Use interfaces/ports and inject concrete implementations."
ARCH006,layering,"Shared utilities must not depend on feature-specific modules.",medium,warning,static,"Keep shared modules generic and dependency-light."
ARCH007,modules,"Each feature should own its components, hooks, services, and tests.",medium,warning,manual,"Group code by feature when the app grows beyond simple pages."
ARCH008,modules,"Avoid large global folders that become dumping grounds.",medium,warning,manual,"Prefer feature-based folders over massive components/utils/services directories."
ARCH009,modules,"Public module APIs should be explicit.",medium,warning,manual,"Expose feature functionality through index files or defined exports."
ARCH010,coupling,"Avoid circular dependencies between modules.",high,error,static,"Refactor shared logic into a lower-level module."
ARCH011,coupling,"Avoid tight coupling to third-party libraries across the codebase.",high,warning,manual,"Wrap external libraries behind adapters."
ARCH012,coupling,"Do not let database models leak into UI or API responses directly.",high,error,manual,"Map persistence models to DTOs or view models."
ARCH013,domain,"Domain logic should be framework-independent when possible.",high,warning,manual,"Keep core rules in plain functions/classes."
ARCH014,domain,"Business rules should be testable without network, database, or UI.",high,error,manual,"Extract pure functions or use-cases."
ARCH015,domain,"Avoid anemic domain models when rules are complex.",medium,warning,manual,"Place meaningful behavior close to domain entities or services."
ARCH016,data_flow,"Prefer one clear data flow direction.",medium,warning,manual,"Avoid scattered state mutations and hidden side effects."
ARCH017,data_flow,"Do not duplicate source-of-truth state unnecessarily.",high,warning,manual,"Derive values instead of storing duplicated state."
ARCH018,state,"Keep local state local.",medium,info,manual,"Only promote state globally when multiple distant features truly need it."
ARCH019,state,"Global state should not become a cache for everything.",medium,warning,manual,"Use server-state tools or scoped stores where appropriate."
ARCH020,state,"Avoid storing derived values in global state.",medium,warning,manual,"Compute derived values with selectors or memoized functions."
ARCH021,api,"API contracts should be stable and documented.",high,error,manual,"Use schemas, OpenAPI, typed clients, or contract tests."
ARCH022,api,"Validate external input at system boundaries.",high,error,static,"Use schema validation before data reaches business logic."
ARCH023,api,"Never trust client-side validation alone.",high,error,manual,"Repeat critical validation on the server."
ARCH024,api,"Use consistent error response formats.",medium,warning,manual,"Define a standard error object with code, message, and details."
ARCH025,errors,"Do not swallow errors silently.",high,error,static,"Log, return, or handle errors explicitly."
ARCH026,errors,"Avoid exposing internal error details to users.",high,error,manual,"Return safe messages and log detailed errors internally."
ARCH027,errors,"Use domain-specific error types for expected failures.",medium,warning,manual,"Separate validation, permission, not-found, and system errors."
ARCH028,security,"Authentication and authorization must be separated.",high,error,manual,"Verify identity first, then check permissions explicitly."
ARCH029,security,"Authorization must happen server-side.",high,error,manual,"Never rely on hidden UI controls as access control."
ARCH030,security,"Secrets must not be committed to source control.",critical,error,static,"Use environment variables and secret managers."
ARCH031,security,"Avoid hardcoded credentials, tokens, or API keys.",critical,error,static,"Move secrets to secure configuration."
ARCH032,security,"Sanitize and validate user-generated content.",high,error,manual,"Prevent XSS, injection, and malformed data."
ARCH033,security,"Use least privilege for services and database access.",high,warning,manual,"Grant only required permissions."
ARCH034,performance,"Avoid unnecessary work in hot paths.",medium,warning,manual,"Cache, memoize, batch, or simplify repeated operations."
ARCH035,performance,"Do not fetch the same data repeatedly without reason.",medium,warning,manual,"Use caching, request deduplication, or server-state management."
ARCH036,performance,"Avoid loading large modules in initial bundles.",medium,warning,static,"Use lazy loading and code splitting."
ARCH037,performance,"Avoid N+1 database queries.",high,error,manual,"Use joins, eager loading, batching, or query optimization."
ARCH038,performance,"Expensive operations should be measurable.",medium,warning,manual,"Add metrics, profiling, or timing logs."
ARCH039,scalability,"Design around clear boundaries before adding complexity.",medium,info,manual,"Do not introduce microservices or heavy patterns prematurely."
ARCH040,scalability,"Background jobs should be used for slow non-interactive work.",medium,warning,manual,"Move long-running tasks out of request/response paths."
ARCH041,scalability,"Use queues for retryable asynchronous workflows.",medium,warning,manual,"Make jobs idempotent and observable."
ARCH042,reliability,"External service calls should have timeouts.",high,error,static,"Configure request timeouts explicitly."
ARCH043,reliability,"External calls should have retry strategy where safe.",medium,warning,manual,"Use exponential backoff and avoid retrying non-idempotent actions blindly."
ARCH044,reliability,"Critical workflows should be idempotent.",high,warning,manual,"Use idempotency keys or unique operation identifiers."
ARCH045,reliability,"Avoid single points of failure in critical paths.",high,warning,manual,"Add fallback behavior, redundancy, or graceful degradation."
ARCH046,observability,"Important actions should be logged with context.",medium,warning,manual,"Include request IDs, user IDs where safe, and operation names."
ARCH047,observability,"Logs should not contain secrets or sensitive personal data.",critical,error,manual,"Redact tokens, passwords, and private information."
ARCH048,observability,"Add metrics for critical system behavior.",medium,warning,manual,"Track latency, error rate, throughput, and saturation."
ARCH049,observability,"Use structured logs instead of random strings.",medium,warning,manual,"Log JSON or consistent key-value fields."
ARCH050,testing,"Architecture-critical rules should have tests.",high,warning,manual,"Add unit, integration, contract, and boundary tests."
ARCH051,testing,"Do not test only happy paths.",high,warning,manual,"Include edge cases, invalid input, and failure scenarios."
ARCH052,testing,"Avoid tests that depend on execution order.",medium,error,manual,"Make tests isolated and deterministic."
ARCH053,testing,"Mock external dependencies at boundaries.",medium,warning,manual,"Keep domain tests fast and independent."
ARCH054,configuration,"Configuration should be environment-based.",medium,warning,manual,"Avoid changing code to switch environments."
ARCH055,configuration,"Fail fast when required configuration is missing.",high,error,static,"Validate environment variables on startup."
ARCH056,configuration,"Use typed configuration where possible.",medium,warning,manual,"Parse and validate config into a typed object."
ARCH057,naming,"Names should reflect architecture responsibility.",medium,info,manual,"Use names like use-case, repository, adapter, controller, schema intentionally."
ARCH058,naming,"Avoid vague names like manager, helper, common, or misc.",low,info,manual,"Rename based on actual responsibility."
ARCH059,maintainability,"Files should stay focused and reasonably small.",medium,warning,static,"Split files that contain unrelated responsibilities."
ARCH060,maintainability,"Avoid deep nesting and complex branching.",medium,warning,static,"Extract functions, use guard clauses, and simplify conditions."
ARCH061,maintainability,"Remove dead code instead of preserving it commented out.",low,warning,static,"Use version control history instead."
ARCH062,maintainability,"Prefer explicitness over clever abstractions.",medium,warning,manual,"Do not abstract until repetition has a stable pattern."
ARCH063,dependencies,"Add dependencies only when they provide clear value.",medium,warning,manual,"Consider maintenance cost, bundle size, security, and lock-in."
ARCH064,dependencies,"Keep dependency versions maintained.",medium,warning,static,"Update regularly and monitor vulnerabilities."
ARCH065,dependencies,"Avoid importing heavy libraries for small utilities.",medium,warning,static,"Use native APIs or small focused packages."
ARCH066,database,"Database access should be centralized behind repositories or query modules.",medium,warning,manual,"Avoid scattering raw queries across UI/controllers."
ARCH067,database,"Schema migrations should be versioned and reversible when practical.",high,error,manual,"Use a migration tool and review migration safety."
ARCH068,database,"Do not perform destructive migrations without backup/rollback strategy.",critical,error,manual,"Plan rollback, backups, and staged deployment."
ARCH069,database,"Indexes should match common query patterns.",medium,warning,manual,"Review slow queries and add indexes intentionally."
ARCH070,database,"Avoid using the database as an unstructured dumping ground.",medium,warning,manual,"Model important data explicitly."
ARCH071,frontend,"UI components should be reusable but not over-abstracted.",medium,info,manual,"Abstract after real repetition appears."
ARCH072,frontend,"Smart/container components should be separated from purely presentational components when complexity grows.",medium,warning,manual,"Keep rendering simple and move behavior upward or into hooks."
ARCH073,frontend,"Avoid prop drilling through many layers.",medium,warning,manual,"Use composition, context, or scoped state carefully."
ARCH074,frontend,"Do not place API calls directly inside deeply nested visual components.",medium,warning,manual,"Move fetching to page-level, hooks, or server functions."
ARCH075,frontend,"Accessibility should be considered part of architecture, not polish.",high,warning,manual,"Use semantic HTML, keyboard support, labels, and focus management."
ARCH076,backend,"Routes should be thin.",high,warning,manual,"Move validation, authorization, and business logic into dedicated layers."
ARCH077,backend,"Use transactions for multi-step data changes that must stay consistent.",high,error,manual,"Wrap related writes in a database transaction."
ARCH078,backend,"Avoid long-running synchronous request handlers.",medium,warning,manual,"Use background jobs, streaming, or async processing."
ARCH079,backend,"Rate-limit sensitive or expensive endpoints.",high,warning,manual,"Protect login, signup, payment, and AI endpoints."
ARCH080,backend,"Separate read and write concerns when complexity justifies it.",low,info,manual,"Consider CQRS-like patterns only when useful."
ARCH081,clean_code,"Functions should do one clear thing.",medium,warning,manual,"Split unrelated behavior into smaller functions."
ARCH082,clean_code,"Function arguments should be limited and meaningful.",low,info,manual,"Use parameter objects for complex inputs."
ARCH083,clean_code,"Avoid boolean flags that radically change behavior.",medium,warning,manual,"Split into separate functions or strategy objects."
ARCH084,clean_code,"Prefer pure functions for deterministic transformations.",medium,info,manual,"Keep side effects at boundaries."
ARCH085,clean_code,"Comments should explain why, not restate what.",low,info,manual,"Improve naming or structure if comments explain obvious code."
ARCH086,types,"Use strong types at module boundaries.",high,warning,static,"Type API inputs, outputs, config, and domain objects."
ARCH087,types,"Avoid using any/unknown without narrowing.",medium,warning,static,"Validate and narrow types before use."
ARCH088,types,"Keep DTOs separate from internal domain types when needed.",medium,warning,manual,"Avoid coupling external contracts to internal models."
ARCH089,documentation,"Document architectural decisions.",medium,info,manual,"Use ADRs for important tradeoffs and decisions."
ARCH090,documentation,"Document setup, scripts, and deployment flow.",medium,warning,manual,"Keep README practical and current."
ARCH091,documentation,"Outdated documentation is harmful.",medium,warning,manual,"Update docs when architecture changes."
ARCH092,build,"Build scripts should be simple and reproducible.",medium,warning,manual,"Avoid hidden manual setup."
ARCH093,build,"CI should run tests, linting, and type checks.",high,warning,manual,"Block merges when core quality gates fail."
ARCH094,build,"Production builds should not depend on local-only files.",high,error,manual,"Make builds environment-independent."
ARCH095,deployment,"Deployment should be repeatable.",high,warning,manual,"Use CI/CD pipelines or documented release steps."
ARCH096,deployment,"Use separate environments for development, staging, and production.",medium,warning,manual,"Avoid testing dangerous changes directly in production."
ARCH097,deployment,"Rollback strategy should exist before risky releases.",high,warning,manual,"Prepare previous version deployment, database rollback, or feature flags."
ARCH098,feature_flags,"Use feature flags for risky or gradual rollouts.",medium,info,manual,"Decouple deployment from release."
ARCH099,feature_flags,"Remove stale feature flags.",low,warning,manual,"Clean up flags after rollout completes."
ARCH100,review,"Architecture reviews should focus on tradeoffs, not personal preference.",medium,info,manual,"Evaluate complexity, coupling, testability, performance, and maintainability."