id,category,smell,severity,description,fix
CS001,Functions,Long Function,high,"Function does too many things or is hard to scan.","Split into smaller single-purpose functions."
CS002,Functions,Too Many Parameters,medium,"Function requires many inputs, making calls confusing.","Group related parameters into objects or simplify API."
CS003,Functions,Flag Argument,medium,"Boolean parameter changes function behavior paths.","Split into separate explicit functions."
CS004,Functions,Deep Nesting,high,"Multiple nested if/for/try blocks reduce readability.","Use guard clauses, early returns, or extraction."
CS005,Functions,Hidden Side Effects,high,"Function changes external state unexpectedly.","Make side effects explicit or isolate them."
CS006,Naming,Vague Name,medium,"Names like data, item, temp, foo hide intent.","Use precise domain-based names."
CS007,Naming,Misleading Name,high,"Name suggests behavior different from implementation.","Rename to match actual responsibility."
CS008,Structure,Duplicate Code,high,"Same logic appears in multiple places.","Extract shared function/module."
CS009,Structure,Dead Code,medium,"Unused code remains in the codebase.","Delete it; rely on version control."
CS010,Structure,Large Class,high,"Class has too many responsibilities.","Split by responsibility."
CS011,Structure,God Object,critical,"One object controls too much of the system.","Move behavior into focused services/components."
CS012,Structure,Feature Envy,medium,"Function uses another object’s data more than its own.","Move behavior closer to the data it uses."
CS013,Complexity,Magic Number,medium,"Raw numbers appear without explanation.","Replace with named constants."
CS014,Complexity,Complex Conditional,high,"Condition is hard to understand or repeated.","Extract named boolean/helper function."
CS015,Complexity,Shotgun Surgery,high,"Small change requires edits across many files.","Centralize responsibility or improve abstraction."
CS016,Error Handling,Swallowed Error,critical,"Errors are caught but ignored.","Log, rethrow, or handle explicitly."
CS017,Error Handling,Generic Catch,high,"Broad catch hides specific failure causes.","Catch specific exceptions."
CS018,Data,Mutable Global State,critical,"Global mutable data causes unpredictable behavior.","Encapsulate state or inject dependencies."
CS019,Data,Primitive Obsession,medium,"Domain concepts represented only as strings/numbers.","Create value objects/types."
CS020,Testing,Untestable Code,high,"Code tightly coupled to IO, time, network, or globals.","Inject dependencies and isolate pure logic."
CS021,Performance,Repeated Expensive Work,medium,"Same expensive calculation/query runs repeatedly.","Cache, memoize, batch, or move outside loop."
CS022,Performance,N+1 Query,high,"Code performs one query per item.","Use joins, eager loading, or batch queries."
CS023,Security,Hardcoded Secret,critical,"API keys/passwords are committed in code.","Move to environment variables/secrets manager."
CS024,Security,Unsafe Input Handling,critical,"User input is trusted directly.","Validate, sanitize, parameterize queries."
CS025,Architecture,Tight Coupling,high,"Modules depend heavily on concrete implementations.","Use interfaces, dependency injection, clear boundaries."
CS026,Architecture,Circular Dependency,high,"Modules import each other directly or indirectly.","Extract shared dependency or invert dependency direction."
CS027,Comments,Obvious Comment,low,"Comment repeats what code already says.","Remove or replace with explanation of why."
CS028,Comments,Stale Comment,medium,"Comment no longer matches behavior.","Update or delete the comment."
CS029,API,Inconsistent Return Type,high,"Function returns different shapes/types depending on path.","Normalize return contract."
CS030,Async,Blocking Async Flow,high,"Async code blocks event loop or waits serially unnecessarily.","Use non-blocking APIs and parallelize safely."