language,metric,low,moderate,high,critical,recommendation
general,cyclomatic_complexity,1,10,20,30,"Refactor functions above 20 complexity"
general,cognitive_complexity,1,15,25,40,"Reduce nesting and split responsibilities"
general,nesting_depth,1,3,5,7,"Avoid deep nesting with guard clauses"
general,function_length_lines,1,30,60,100,"Split long functions into smaller units"
general,class_length_lines,1,200,500,1000,"Break large classes into focused modules"
general,parameter_count,1,4,6,8,"Use parameter objects for excessive arguments"
general,dependency_count,1,5,10,20,"Reduce coupling and isolate responsibilities"
general,file_length_lines,1,300,700,1200,"Split oversized files into modules"
general,inheritance_depth,1,2,4,6,"Prefer composition over deep inheritance"
general,maintainability_index,100,80,60,40,"Increase readability and modularity"
javascript,promise_chain_depth,1,3,5,8,"Replace deep chains with async/await"
javascript,react_component_lines,1,150,300,500,"Extract hooks and child components"
typescript,type_complexity_score,1,10,20,35,"Simplify nested generic types"
python,branch_count,1,8,15,25,"Reduce conditional branching"
python,import_count,1,10,20,40,"Group or modularize dependencies"
java,method_count_per_class,1,10,20,40,"Split god classes into services"
java,switch_case_count,1,5,10,20,"Replace with polymorphism or maps"
csharp,region_count,1,2,5,10,"Regions may indicate oversized files"
go,function_statement_count,1,20,40,80,"Refactor into helper functions"
rust,lifetime_annotation_count,1,3,6,10,"Reduce overly complex ownership logic"
php,trait_usage_count,1,2,5,10,"Avoid excessive trait composition"
ruby,block_nesting_depth,1,2,4,6,"Flatten nested iterators and conditions"
swift,view_body_length,1,50,100,200,"Extract reusable SwiftUI views"
kotlin,coroutine_nesting,1,2,4,6,"Simplify async flow structure"